Name;XT;Module;Channel

CEMENT_M_1;AI;1;1
WATER_M_1;AI;1;2
ADDITIONS_M_1;AI;1;3
FILLERS_M_1;AI;1;4

FILLERS_M_2;AI;2;1
FILLERS_M_3;AI;2;2
MIXER_I_1;AI;2;3

DCEMENT_CLOSED_1;DI;3;1
DWATER_CLOSED_1;DI;3;2
DFILLERS_CLOSED_1;DI;3;3
DFILLERS_CLOSED_2;DI;3;4
DFILLERS_CLOSED_3;DI;3;5
DADDITIONS_CLOSED_1;DI;3;6
CEMENT_CLOSED_1;DI;3;7
WATER_CLOSED_1;DI;3;8

FILLER_CLOSED_1;DI;4;1
FILLER_CLOSED_2;DI;4;2
FILLER_CLOSED_3;DI;4;3
APUMP_ISON_1;DI;4;4
APUMP_ISON_2;DI;4;5
MIXER_ISON_1;DI;4;6
MIXER_OPENED_1;DI;4;7
MIXER_CLOSED_1;DI;4;8

LLEVEL_1;DI;5;1
HLEVEL_1;DI;5;2

DCEMENT_OPEN_1;DO;6;1
DWATER_OPEN_1;DO;6;2
DADDITIONS_OPEN_1;DO;6;3
DFILLERS_OPEN_1;DO;6;4
DFILLERS_OPEN_2;DO;6;5
DFILLERS_OPEN_3;DO;6;6
CEMENT_OPEN_1;DO;6;7
WATER_OPEN_1;DO;6;8

FILLER_OPEN_1;DO;7;1
FILLER_OPEN_2;DO;7;2
FILLER_OPEN_3;DO;7;3
MIXER_OPEN_1;DO;7;4
AERATOR_ON_1;DO;7;5
APUMP_ON_1;DO;7;6
APUMP_ON_2;DO;7;7
MIXER_ON_1;DO;7;8

MIXER_OFF_1;DO;8;1
VIBRATOR_ON_1;DO;8;2
VIBRATOR_ON_2;DO;8;3
VIBRATOR_ON_3;DO;8;4
BELL_ON_1;DO;8;5
DF_VIBRATOR_ON_1;DO;8;6
DF_VIBRATOR_ON_2;DO;8;7
DF_VIBRATOR_ON_3;DO;8;8

DC_VIBRATOR_ON_1;DO;9;1
